Enhanced lrslib ray discovery log
Started: 2025-07-25 15:02:39
Input: n6data/n6_restart_startingcobasis.ine
Output: n6data/new_rays_from_1381_enhanced.ext
============================================================

[2025-07-25 15:02:39] 🚀 STARTING: Enhanced lrslib ray discovery
[2025-07-25 15:02:39] 📁 INPUT: n6data/n6_restart_startingcobasis.ine
[2025-07-25 15:02:39] 📁 OUTPUT: n6data/new_rays_from_1381_enhanced.ext
[2025-07-25 15:02:39] 📁 LOG: n6data/ray_discovery_enhanced.log
[2025-07-25 15:02:39] 📊 INPUT SIZE: 1220.1 MB
[2025-07-25 15:02:39] ⚡ LAUNCHING: lrslib process with monitoring
[2025-07-25 16:49:11] ⏰ PROGRESS: 6392s elapsed, 0 rays found
[2025-07-25 16:49:41] ⏰ PROGRESS: 6422s elapsed, 0 rays found
[2025-07-25 16:50:10] ⏰ PROGRESS: 6452s elapsed, 0 rays found
[2025-07-25 16:50:41] ⏰ PROGRESS: 6482s elapsed, 0 rays found
[2025-07-25 16:51:11] ⏰ PROGRESS: 6512s elapsed, 0 rays found
[2025-07-25 16:51:41] ⏰ PROGRESS: 6542s elapsed, 0 rays found
[2025-07-25 16:52:11] ⏰ PROGRESS: 6572s elapsed, 0 rays found
[2025-07-25 16:52:41] ⏰ PROGRESS: 6602s elapsed, 0 rays found
[2025-07-25 16:53:11] ⏰ PROGRESS: 6632s elapsed, 0 rays found
[2025-07-25 16:53:41] ⏰ PROGRESS: 6662s elapsed, 0 rays found
[2025-07-25 16:54:11] ⏰ PROGRESS: 6692s elapsed, 0 rays found
[2025-07-25 16:54:41] ⏰ PROGRESS: 6722s elapsed, 0 rays found
[2025-07-25 16:55:11] ⏰ PROGRESS: 6752s elapsed, 0 rays found
[2025-07-25 16:55:41] ⏰ PROGRESS: 6782s elapsed, 0 rays found
[2025-07-25 16:56:11] ⏰ PROGRESS: 6812s elapsed, 0 rays found
[2025-07-25 16:56:41] ⏰ PROGRESS: 6842s elapsed, 0 rays found
[2025-07-25 16:57:11] ⏰ PROGRESS: 6872s elapsed, 0 rays found
[2025-07-25 16:57:41] ⏰ PROGRESS: 6902s elapsed, 0 rays found
[2025-07-25 16:58:11] ⏰ PROGRESS: 6932s elapsed, 0 rays found
[2025-07-25 16:58:41] ⏰ PROGRESS: 6962s elapsed, 0 rays found
[2025-07-25 16:59:11] ⏰ PROGRESS: 6992s elapsed, 0 rays found
[2025-07-25 16:59:41] ⏰ PROGRESS: 7022s elapsed, 0 rays found
[2025-07-25 17:00:11] ⏰ PROGRESS: 7052s elapsed, 0 rays found
[2025-07-25 17:00:41] ⏰ PROGRESS: 7082s elapsed, 0 rays found
[2025-07-25 17:01:11] ⏰ PROGRESS: 7112s elapsed, 0 rays found
[2025-07-25 17:01:41] ⏰ PROGRESS: 7142s elapsed, 0 rays found
[2025-07-25 17:02:11] ⏰ PROGRESS: 7172s elapsed, 0 rays found
[2025-07-25 17:02:41] ⏰ PROGRESS: 7202s elapsed, 0 rays found
[2025-07-25 17:03:11] ⏰ PROGRESS: 7232s elapsed, 0 rays found
[2025-07-25 17:03:41] ⏰ PROGRESS: 7262s elapsed, 0 rays found
[2025-07-25 17:04:11] ⏰ PROGRESS: 7292s elapsed, 0 rays found
[2025-07-25 17:04:41] ⏰ PROGRESS: 7322s elapsed, 0 rays found
[2025-07-25 17:05:11] ⏰ PROGRESS: 7352s elapsed, 0 rays found
[2025-07-25 17:05:41] ⏰ PROGRESS: 7382s elapsed, 0 rays found
[2025-07-25 17:06:11] ⏰ PROGRESS: 7412s elapsed, 0 rays found
[2025-07-25 17:06:41] ⏰ PROGRESS: 7442s elapsed, 0 rays found
[2025-07-25 17:07:11] ⏰ PROGRESS: 7472s elapsed, 0 rays found
[2025-07-25 17:07:41] ⏰ PROGRESS: 7502s elapsed, 0 rays found
[2025-07-25 17:08:11] ⏰ PROGRESS: 7532s elapsed, 0 rays found
[2025-07-25 17:08:41] ⏰ PROGRESS: 7562s elapsed, 0 rays found
[2025-07-25 17:09:11] ⏰ PROGRESS: 7592s elapsed, 0 rays found
[2025-07-25 17:09:41] ⏰ PROGRESS: 7622s elapsed, 0 rays found
[2025-07-25 17:10:11] ⏰ PROGRESS: 7652s elapsed, 0 rays found
[2025-07-25 17:10:41] ⏰ PROGRESS: 7682s elapsed, 0 rays found
[2025-07-25 17:11:11] ⏰ PROGRESS: 7712s elapsed, 0 rays found
[2025-07-25 17:11:41] ⏰ PROGRESS: 7742s elapsed, 0 rays found
[2025-07-25 17:12:11] ⏰ PROGRESS: 7772s elapsed, 0 rays found
[2025-07-25 17:12:41] ⏰ PROGRESS: 7802s elapsed, 0 rays found
